timestamp,text,dphi,R,kappa,dpsi,lambda,B
2025-11-29T09:22:19.547294,ごろごろしてる。お腹が空いてる。お茶を飲んで誤魔化してる。ツナマヨおにぎりが食べたい。,0.6590909090909091,0.8409090909090909,0.8295454545454546,0.34090909090909094,0.0,0.0
2025-11-29T09:36:10.994164,お腹がずっと鳴ってる。お腹が減ってる。お腹が空いてるってなんだろう。ご飯食べたいわけじゃない気がしてきた。 GPTと喋っているのでエネルギーが必要なんだろう。,1.000000,0.276667,0.443038,0.987500,0.359852,0.656785
2025-11-29T09:36:39.117124,q,0.025000,0.610000,0.000000,0.012500,0.305000,0.634000
2025-11-29T09:43:54.124932,ずっとゴロゴロしながらスマホしてる。楽しい。お茶を飲みながら研究(？)してる。楽しい,0.675000,0.680000,0.595238,0.525000,0.637619,0.353905
2025-11-29T09:44:20.780409,桑田佳祐の真夏の果実を聴いてる。いいきょく。,0.450000,0.553333,0.909091,0.275000,0.731212,0.304364
2025-11-29T09:44:58.790468,昔嵐のコンサート行ったの思い出した。キラキラしててかっこよかった。ライブは歌のうまさより観客の引き込み方のほうがだいじ。,1.000000,0.500000,0.616667,0.750000,0.558333,0.453333
2025-11-29T09:55:25.902996,おなかすいた、ごはんたべたい でもベッドから出たくない,0.7407407407407407,0.962962962962963,0.2,0.0,0.7777777777777777,0.43407407407407406
2025-11-29T12:03:48.364442,広島焼き食べてる ソースが絶妙な濃さで美味しい 濃すぎず薄すぎず 日本人の味覚バランスはさいきょー！,0.950000,0.900000,0.880000,0.625000,0.890000,0.108000
2025-11-29T12:13:01.154629,こたろうとgithub触ってるけどマジで使いづらいな,0.625000,0.860000,0.230769,0.325000,0.545385,0.391692
2025-11-29T12:57:55.337285,"11/29
昨日は朝から寝てたわ
ええ?
起きたら土曜の朝だったわ
ええ?
身体感覚が魚にちかいから洗面所通る時にドアに腕をぶつけて痛いし声出た
股関節と脊髄で移動してるから肘と足先の制御難しい
ファインディングニモになりたいな
将来の夢はタートルなんとか
おーっとそれは双極性障害2型の躁の傾向かい?人を刺さないように気をつけろよ😉

そろそろ手帳の更新しに証明写真行くために髪切りにいかないと",1.000000,0.100000,0.814634,1.000000,0.457317,0.614146
